City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,Fort Bragg,35.139,-79.006,78.35,69,100,9.22,US,2023-05-30 19:28:37
171,Vilyuchinsk,52.9306,158.4028,44.87,94,100,23.17,RU,2023-05-30 19:32:01
172,Vila Franca Do Campo,37.7167,-25.4333,63.01,90,100,7.54,PT,2023-05-30 19:32:01
173,Zapolyarnyy,69.4154,30.8136,42.08,58,100,10.78,RU,2023-05-30 19:32:01
174,Heunghae,36.1125,129.3522,59.77,89,62,6.44,KR,2023-05-30 19:32:01
175,Kiruna,67.8557,20.2251,40.12,75,100,14.97,SE,2023-05-30 19:32:02
176,Kupang,-10.1667,123.5833,75.85,78,100,11.92,ID,2023-05-30 19:32:02
177,Kingston,17.997,-76.7936,77.95,94,40,18.41,JM,2023-05-30 19:28:32
178,Iskateley,67.6803,53.1512,48.99,77,100,5.46,RU,2023-05-30 19:32:03
179,Klyuchi,52.2667,79.1667,57.72,45,1,5.99,RU,2023-05-30 19:32:04
180,East London,-33.0153,27.9116,65.26,84,100,15.82,ZA,2023-05-30 19:32:04
181,Pangody,65.85,74.4859,55.6,89,80,10.78,RU,2023-05-30 19:32:04
182,Erenhot,43.6475,111.9767,54.45,80,83,3.06,CN,2023-05-30 19:32:04
183,Kodiak,57.79,-152.4072,47.71,71,0,8.05,US,2023-05-30 19:32:05
184,Alcaniz,41.05,-0.1333,69.58,48,23,7.36,ES,2023-05-30 19:32:05
185,Biltine,14.5333,20.9167,91.15,31,7,10.85,TD,2023-05-30 19:32:06
186,Thanh Hoa,19.8,105.7667,77.83,88,5,2.1,VN,2023-05-30 19:32:06
187,Eyl,7.9803,49.8164,83.52,80,18,18.59,SO,2023-05-30 19:32:06
188,Port Alfred,-33.5906,26.891,58.17,94,100,1.99,ZA,2023-05-30 19:32:07
189,Basco,20.4487,121.9702,81.97,83,99,35.3,PH,2023-05-30 19:32:07
190,Cherdyn',60.403,56.4787,55.2,59,93,3.96,RU,2023-05-30 19:33:07
191,Cabo San Lucas,22.8909,-109.9124,88.61,42,0,6.91,MX,2023-05-30 19:28:26
192,Kavalerovo,44.2661,135.0572,41.95,94,3,3.91,RU,2023-05-30 19:33:08
193,Angaur State,6.906,134.13,83.37,77,80,7.14,PW,2023-05-30 19:33:08
194,Acqui Terme,44.6751,8.4675,69.69,70,60,1.95,IT,2023-05-30 19:33:09
195,Paradip Garh,20.3167,86.6167,83.48,85,66,12.84,IN,2023-05-30 19:33:09
196,Knyaze-Volkonskoye,48.4642,135.4567,50.34,83,23,4.72,RU,2023-05-30 19:33:09
197,Viqueque,-8.8673,126.3658,75.22,85,99,6.64,TL,2023-05-30 19:33:10
198,Carnot,4.9409,15.8665,70.92,95,50,4.97,CF,2023-05-30 19:33:10
199,Serres,41.0856,23.5497,67.37,83,78,2.95,GR,2023-05-30 19:33:10
200,Georgetown,5.4112,100.3354,82.35,81,20,3.44,MY,2023-05-30 19:33:10
201,Karratha,-20.7377,116.8463,65.79,54,0,7.34,AU,2023-05-30 19:33:11
202,Igarka,67.4667,86.5833,46.33,68,100,10.11,RU,2023-05-30 19:33:11
203,Hamilton,39.1834,-84.5333,86.77,52,40,8.05,US,2023-05-30 19:29:01
204,Nellore,14.4333,79.9667,84.49,73,100,4.41,IN,2023-05-30 19:33:12
205,Luanda,-8.8368,13.2343,75.2,78,20,10.36,AO,2023-05-30 19:30:58
206,Carlsbad,33.1581,-117.3506,69.26,77,100,11.01,US,2023-05-30 19:30:52
207,Pingzhuang,42.0372,119.2889,62.49,47,97,8.03,CN,2023-05-30 19:33:12
208,Trail,49.0998,-117.7022,81.68,30,30,7.16,CA,2023-05-30 19:33:12
209,Hovd,48.0056,91.6419,48.58,43,99,2.04,MN,2023-05-30 19:30:35
210,Ninh Binh,20.2539,105.975,78.42,84,19,4.25,VN,2023-05-30 19:33:13
211,Masasi,-10.7167,38.8,66.13,88,92,2.64,TZ,2023-05-30 19:33:13
212,Norzagaray,14.9109,121.0493,85.75,81,100,7.09,PH,2023-05-30 19:33:13
213,Alta,69.9689,23.2717,43.86,79,75,5.75,NO,2023-05-30 19:30:29
214,Phan Rang-Thap Cham,11.5667,108.9833,78.98,80,83,3.78,VN,2023-05-30 19:33:13
215,Porec,45.2258,13.5939,72.45,65,80,7.67,HR,2023-05-30 19:33:14
216,Tamandare,-8.7597,-35.1047,78.94,79,4,9.91,BR,2023-05-30 19:33:14
217,Mejit,10.2753,170.8646,81.39,81,58,18.88,MH,2023-05-30 19:33:14
218,Gbarnga,6.9956,-9.4722,74.61,96,77,1.88,LR,2023-05-30 19:33:14
219,Ndioum,16.5129,-14.6471,111.09,16,100,7.49,SN,2023-05-30 19:30:06
220,Vila Velha,-20.3297,-40.2925,76.95,73,40,9.22,BR,2023-05-30 19:33:15
221,San Andres,12.5847,-81.7006,89.62,66,20,8.05,CO,2023-05-30 19:33:15
222,St. John'S,47.5649,-52.7093,52.68,67,20,13.8,CA,2023-05-30 19:29:59
223,Korla,41.7597,86.1469,65.75,25,3,3.2,CN,2023-05-30 19:33:16
224,Mitu,1.1983,-70.1733,78.04,92,96,2.37,CO,2023-05-30 19:33:16
225,Pokhara,28.2333,83.9833,74.62,39,0,7.56,NP,2023-05-30 19:33:16
226,Aasiaat,68.7098,-52.8699,32.88,96,100,28.23,GL,2023-05-30 19:33:17
227,Prince Rupert,54.3161,-130.3201,50.09,72,100,21.85,CA,2023-05-30 19:33:17
228,Geraldton,-28.7667,114.6,64.81,88,100,10.36,AU,2023-05-30 19:33:17
229,Boyolangu,-8.1181,111.8935,76.12,89,100,4.14,ID,2023-05-30 19:33:17
230,Daru,-9.0763,143.2092,77.59,87,71,15.55,PG,2023-05-30 19:33:18
231,Tvoroyri,61.5556,-6.8111,49.35,93,78,21.14,FO,2023-05-30 19:33:18
232,Tari,12.4086,4.4914,87.84,41,100,13.09,NG,2023-05-30 19:33:18
233,Punta Del Este,-34.9667,-54.95,62.71,73,40,8.01,UY,2023-05-30 19:31:52
234,Capo D'Orlando,38.1435,14.7305,70.41,78,100,5.26,IT,2023-05-30 19:33:19
235,Kapuskasing,49.4169,-82.4331,89.6,19,20,17.27,CA,2023-05-30 19:29:02
236,Gembu,6.7,11.2667,63.64,91,95,2.01,NG,2023-05-30 19:33:19
237,Nema,57.5067,50.5011,59.38,81,96,6.4,RU,2023-05-30 19:34:20
238,Jwaneng,-24.6004,24.7303,55.8,59,5,8.63,BW,2023-05-30 19:34:20
239,Chingola,-12.529,27.8838,60.94,62,94,1.14,ZM,2023-05-30 19:34:21
240,Lihue,21.9789,-159.3672,78.39,74,20,12.66,US,2023-05-30 19:34:21
241,Reggane,26.7158,0.1714,87.17,15,20,9.64,DZ,2023-05-30 19:34:21
242,Hawaiian Paradise Park,19.5933,-154.9731,77.04,86,100,0.0,US,2023-05-30 19:34:22
243,Tamiahua,21.2667,-97.45,88.02,52,0,14.65,MX,2023-05-30 19:34:22
244,Masterton,-40.9597,175.6575,49.89,81,77,2.33,NZ,2023-05-30 19:34:32
245,Iquique,-20.2208,-70.1431,68.04,74,26,8.46,CL,2023-05-30 19:33:58
246,Mount Isa,-20.7333,139.5,38.97,65,79,0.0,AU,2023-05-30 19:34:33
